age,housing,y
20,no,yes
68,no,yes
32,yes,yes
49,no,yes
78,no,yes
32,yes,yes
33,yes,yes
61,yes,yes
45,no,yes
34,yes,yes
37,no,yes
27,yes,yes
52,no,yes
37,no,yes
27,yes,yes
31,no,yes
56,no,yes
21,no,yes
25,no,yes
25,no,yes
34,no,yes
77,no,yes
52,yes,yes
55,no,yes
28,no,yes
56,yes,yes
75,no,yes
35,yes,yes
29,no,yes
42,yes,yes
29,no,yes
24,yes,yes
34,no,yes
50,yes,yes
49,yes,yes
45,yes,yes
38,yes,yes
32,yes,yes
49,yes,yes
25,yes,yes
35,no,yes
38,no,yes
35,yes,yes
35,no,yes
32,yes,yes
30,no,yes
55,no,yes
48,no,yes
60,no,yes
37,yes,yes
59,no,yes
28,no,yes
54,no,yes
75,yes,yes
49,no,yes
30,yes,yes
35,yes,yes
34,no,yes
32,yes,yes
61,no,yes
77,no,yes
53,no,yes
46,no,yes
44,yes,yes
19,no,yes
30,no,yes
52,yes,yes
36,yes,yes
47,no,yes
43,no,yes
41,no,yes
28,no,yes
32,no,yes
41,no,yes
35,no,yes
30,yes,yes
58,no,yes
27,yes,yes
39,yes,yes
46,no,yes
28,yes,yes
38,yes,yes
28,no,yes
32,no,yes
59,no,yes
35,yes,yes
50,no,yes
36,no,yes
28,no,yes
55,no,yes
48,yes,yes
29,yes,yes
34,yes,yes
43,yes,yes
47,no,yes
39,yes,yes
55,no,yes
46,no,yes
41,yes,yes
31,no,yes
26,no,yes
60,yes,yes
27,no,yes
28,no,yes
34,no,yes
34,yes,yes
40,no,yes
41,no,yes
33,no,yes
58,yes,yes
34,no,yes
43,yes,yes
59,no,yes
37,yes,yes
45,yes,yes
49,yes,yes
53,yes,yes
42,yes,yes
45,yes,yes
56,no,yes
55,yes,yes
34,no,yes
63,no,yes
48,no,yes
36,yes,yes
54,no,yes
38,no,yes
33,yes,yes
59,no,yes
37,no,yes
37,no,yes
57,yes,yes
60,no,yes
44,no,yes
32,no,yes
33,yes,yes
28,no,yes
37,no,yes
31,yes,yes
34,no,yes
54,no,yes
61,no,yes
36,no,yes
75,no,yes
60,no,yes
54,no,yes
27,no,yes
41,no,yes
46,no,yes
31,yes,yes
32,no,yes
59,no,yes
42,no,yes
80,no,yes
49,yes,yes
45,yes,yes
32,no,yes
27,yes,yes
47,yes,yes
28,no,yes
83,no,yes
46,no,yes
38,no,yes
35,yes,yes
38,yes,yes
36,no,yes
59,yes,yes
64,no,yes
77,no,yes
56,no,yes
32,yes,yes
31,yes,yes
45,yes,yes
36,yes,yes
31,no,yes
53,no,yes
59,no,yes
29,no,yes
46,no,yes
47,no,yes
42,no,yes
33,no,yes
54,yes,yes
28,no,yes
42,no,yes
49,yes,yes
46,no,yes
39,no,yes
53,no,yes
52,yes,yes
47,no,yes
32,no,yes
37,no,yes
43,no,yes
31,no,yes
35,yes,yes
25,no,yes
32,yes,yes
46,yes,yes
48,yes,yes
34,no,yes
53,yes,yes
40,yes,yes
49,no,yes
49,yes,yes
29,no,yes
38,yes,yes
35,yes,yes
57,no,yes
51,yes,yes
31,no,yes
39,no,yes
54,no,yes
51,yes,yes
34,no,yes
47,yes,yes
34,no,yes
26,yes,yes
39,yes,yes
42,no,yes
40,no,yes
28,no,yes
46,yes,yes
48,no,yes
30,no,yes
29,no,yes
53,yes,yes
71,no,yes
22,no,yes
27,yes,yes
27,no,yes
42,yes,yes
41,yes,yes
25,no,yes
44,no,yes
37,no,yes
44,yes,yes
74,no,yes
40,yes,yes
34,yes,yes
59,no,yes
41,no,yes
30,yes,yes
59,no,yes
31,yes,yes
48,yes,yes
47,yes,yes
33,no,yes
30,yes,yes
38,yes,yes
33,yes,yes
62,no,yes
48,no,yes
41,yes,yes
35,yes,yes
47,no,yes
37,yes,yes
62,no,yes
33,no,yes
40,yes,yes
28,yes,yes
43,yes,yes
23,yes,yes
29,yes,yes
34,yes,yes
24,no,yes
44,yes,yes
33,yes,yes
24,yes,yes
37,no,yes
41,yes,yes
35,yes,yes
32,yes,yes
27,yes,yes
30,yes,yes
37,yes,yes
43,yes,yes
26,no,yes
35,yes,yes
41,no,yes
44,no,yes
42,no,yes
73,no,yes
51,no,yes
35,yes,yes
36,no,yes
23,yes,yes
22,no,yes
53,no,yes
35,no,yes
50,no,yes
37,no,yes
53,no,yes
44,no,yes
31,yes,yes
33,yes,yes
34,yes,yes
61,no,yes
52,no,yes
49,no,yes
50,no,yes
36,no,yes
45,yes,yes
36,yes,yes
42,yes,yes
27,yes,yes
31,yes,yes
29,no,yes
45,no,yes
55,yes,yes
25,no,yes
41,yes,yes
29,no,yes
32,yes,yes
53,no,yes
47,no,yes
40,yes,yes
61,no,yes
35,yes,yes
19,no,yes
46,no,yes
38,yes,yes
37,no,yes
39,yes,yes
49,no,yes
43,yes,yes
44,no,yes
38,no,yes
32,no,yes
51,no,yes
32,yes,yes
35,yes,yes
32,no,yes
34,yes,yes
56,no,yes
41,yes,yes
49,yes,yes
61,no,yes
45,no,yes
36,yes,yes
22,no,yes
71,yes,yes
31,no,yes
56,no,yes
46,yes,yes
55,no,yes
34,no,yes
38,no,yes
60,no,yes
51,no,yes
49,yes,yes
40,no,yes
39,yes,yes
50,yes,yes
73,no,yes
34,yes,yes
43,yes,yes
67,no,yes
33,no,yes
31,no,yes
30,yes,yes
47,no,yes
48,yes,yes
32,yes,yes
27,no,yes
24,yes,yes
28,no,yes
34,no,yes
63,no,yes
79,no,yes
72,no,yes
55,no,yes
41,yes,yes
52,yes,yes
59,no,yes
54,no,yes
36,no,yes
36,yes,yes
28,no,yes
60,yes,yes
64,no,yes
40,no,yes
87,no,yes
33,yes,yes
25,no,yes
35,yes,yes
53,yes,yes
33,yes,yes
53,no,yes
79,no,yes
27,no,yes
38,no,yes
46,no,yes
33,no,yes
39,no,yes
55,no,yes
28,no,yes
71,no,yes
47,no,yes
58,no,yes
32,yes,yes
43,no,yes
33,yes,yes
30,no,yes
58,no,yes
68,yes,yes
49,no,yes
61,no,yes
43,no,yes
38,no,yes
52,no,yes
29,yes,yes
29,yes,yes
26,no,yes
32,yes,yes
36,no,yes
30,yes,yes
30,no,yes
80,no,yes
31,no,yes
32,yes,yes
43,yes,yes
34,yes,yes
27,yes,yes
36,yes,yes
42,yes,yes
36,no,yes
55,no,yes
61,no,yes
35,no,yes
26,no,yes
74,no,yes
47,no,yes
66,no,yes
33,yes,yes
53,yes,yes
46,yes,yes
29,no,yes
50,yes,yes
39,yes,yes
54,no,yes
26,no,yes
44,no,yes
47,no,yes
31,yes,yes
36,no,yes
42,yes,yes
30,no,yes
36,no,yes
51,no,yes
47,no,yes
25,yes,yes
34,yes,yes
49,no,yes
44,yes,yes
34,yes,yes
66,no,yes
37,yes,yes
38,no,yes
46,yes,yes
52,no,yes
53,yes,yes
28,yes,yes
32,yes,yes
30,no,yes
69,no,yes
84,no,yes
25,no,yes
47,yes,yes
50,yes,yes
30,yes,yes
55,yes,yes
53,no,yes
57,no,yes
32,yes,yes
32,no,yes
48,yes,yes
34,no,yes
27,no,yes
30,yes,yes
37,no,yes
38,yes,yes
33,yes,yes
69,no,yes
65,no,yes
62,yes,yes
39,yes,yes
38,yes,yes
31,yes,yes
33,no,yes
36,no,yes
32,yes,yes
34,no,yes
59,no,yes
25,yes,yes
53,no,yes
52,no,yes
34,no,yes
59,no,yes
49,yes,yes
73,no,yes
50,yes,yes
29,no,yes
63,no,yes
59,no,yes
83,no,yes
50,no,yes
41,yes,yes
45,yes,yes
32,yes,yes
45,yes,yes
40,yes,yes
49,yes,yes
29,no,yes
38,no,yes
38,no,yes
26,yes,yes
60,no,yes
42,yes,yes
32,yes,yes
46,yes,yes
30,no,no
33,yes,no
35,yes,no
30,yes,no
59,yes,no
35,no,no
36,yes,no
39,yes,no
41,yes,no
43,yes,no
39,yes,no
43,yes,no
36,no,no
31,yes,no
40,no,no
56,no,no
37,yes,no
25,yes,no
31,no,no
38,yes,no
42,no,no
44,no,no
44,no,no
26,no,no
41,no,no
55,yes,no
67,no,no
56,no,no
53,no,no
31,no,no
59,no,no
42,yes,no
23,yes,no
38,yes,no
36,no,no
52,yes,no
32,yes,no
32,yes,no
34,yes,no
55,no,no
26,yes,no
32,yes,no
37,yes,no
38,no,no
53,yes,no
48,yes,no
57,no,no
33,no,no
36,yes,no
54,yes,no
41,no,no
63,yes,no
48,no,no
48,no,no
56,no,no
51,yes,no
31,yes,no
29,yes,no
41,no,no
32,no,no
42,yes,no
31,yes,no
41,yes,no
56,yes,no
54,no,no
41,yes,no
40,no,no
50,no,no
40,yes,no
60,no,no
28,yes,no
51,yes,no
41,no,no
35,yes,no
38,yes,no
34,yes,no
39,no,no
34,yes,no
32,no,no
57,no,no
41,no,no
41,yes,no
30,no,no
36,no,no
36,yes,no
38,yes,no
49,no,no
57,yes,no
34,no,no
32,yes,no
37,yes,no
33,yes,no
27,yes,no
58,yes,no
32,yes,no
33,no,no
30,yes,no
22,no,no
39,no,no
46,no,no
31,yes,no
45,no,no
32,yes,no
36,no,no
51,yes,no
24,no,no
45,no,no
32,no,no
41,yes,no
37,yes,no
43,yes,no
48,yes,no
27,yes,no
33,no,no
29,yes,no
34,no,no
60,no,no
32,no,no
32,yes,no
56,yes,no
31,yes,no
42,yes,no
35,no,no
56,no,no
48,yes,no
46,yes,no
37,yes,no
41,yes,no
36,yes,no
45,yes,no
55,no,no
39,no,no
35,no,no
55,yes,no
27,no,no
34,yes,no
34,no,no
25,yes,no
41,no,no
43,yes,no
31,yes,no
78,no,no
45,yes,no
48,no,no
32,yes,no
42,no,no
37,no,no
40,yes,no
32,yes,no
42,no,no
43,yes,no
44,yes,no
37,yes,no
37,no,no
37,yes,no
28,yes,no
32,no,no
34,yes,no
40,no,no
34,yes,no
34,yes,no
34,yes,no
37,yes,no
36,yes,no
49,yes,no
33,yes,no
30,no,no
36,no,no
23,no,no
57,yes,no
27,yes,no
38,no,no
42,no,no
34,yes,no
48,no,no
39,yes,no
45,yes,no
42,yes,no
29,yes,no
38,yes,no
56,no,no
36,yes,no
25,yes,no
38,yes,no
57,no,no
31,no,no
45,no,no
30,yes,no
49,yes,no
49,no,no
53,yes,no
37,yes,no
49,no,no
41,no,no
54,yes,no
32,yes,no
33,no,no
33,yes,no
36,yes,no
35,yes,no
52,no,no
40,no,no
44,yes,no
45,yes,no
30,no,no
48,no,no
33,yes,no
57,yes,no
57,no,no
51,yes,no
34,yes,no
50,no,no
44,no,no
27,yes,no
50,yes,no
36,yes,no
42,yes,no
32,no,no
42,yes,no
43,no,no
31,yes,no
32,no,no
55,no,no
58,yes,no
46,no,no
55,yes,no
34,no,no
28,no,no
42,yes,no
54,yes,no
32,no,no
39,no,no
53,no,no
58,no,no
40,yes,no
29,yes,no
33,yes,no
38,yes,no
56,no,no
40,yes,no
46,no,no
35,yes,no
35,yes,no
34,yes,no
35,no,no
38,no,no
50,no,no
51,yes,no
59,no,no
32,yes,no
37,yes,no
42,no,no
40,no,no
28,yes,no
47,yes,no
27,yes,no
41,yes,no
47,yes,no
53,no,no
53,yes,no
47,no,no
29,no,no
70,no,no
65,no,no
56,yes,no
35,yes,no
56,no,no
56,no,no
38,yes,no
35,yes,no
38,no,no
49,yes,no
55,no,no
43,yes,no
43,no,no
30,yes,no
46,no,no
50,no,no
26,no,no
45,no,no
37,no,no
60,no,no
47,yes,no
33,no,no
51,no,no
48,yes,no
37,no,no
29,yes,no
34,yes,no
47,no,no
33,no,no
33,yes,no
63,no,no
51,no,no
41,yes,no
56,no,no
60,no,no
41,yes,no
37,yes,no
36,yes,no
57,no,no
44,yes,no
47,yes,no
31,yes,no
35,yes,no
39,no,no
50,no,no
29,yes,no
30,yes,no
46,yes,no
27,no,no
26,yes,no
36,no,no
42,yes,no
50,yes,no
49,yes,no
45,no,no
23,no,no
38,yes,no
32,yes,no
30,yes,no
58,no,no
60,no,no
38,no,no
51,yes,no
42,yes,no
30,yes,no
40,yes,no
53,yes,no
27,yes,no
39,yes,no
39,yes,no
37,yes,no
41,yes,no
45,no,no
48,no,no
48,yes,no
32,no,no
35,yes,no
33,yes,no
28,yes,no
64,no,no
35,no,no
33,yes,no
41,yes,no
34,yes,no
37,no,no
38,yes,no
39,yes,no
35,yes,no
27,no,no
48,no,no
50,no,no
45,yes,no
41,yes,no
39,no,no
44,yes,no
49,no,no
34,no,no
42,no,no
53,no,no
31,no,no
45,no,no
39,yes,no
46,yes,no
42,yes,no
37,yes,no
26,yes,no
37,yes,no
36,yes,no
29,yes,no
36,yes,no
26,yes,no
32,yes,no
40,yes,no
53,no,no
29,yes,no
34,yes,no
43,no,no
56,no,no
55,no,no
31,yes,no
27,yes,no
36,yes,no
44,yes,no
37,yes,no
30,yes,no
42,no,no
62,no,no
24,yes,no
31,yes,no
66,no,no
47,no,no
39,yes,no
35,yes,no
27,yes,no
32,yes,no
44,no,no
42,yes,no
25,no,no
40,no,no
43,no,no
55,no,no
50,yes,no
45,no,no
35,yes,no
59,no,no
34,yes,no
39,yes,no
40,yes,no
36,yes,no
40,yes,no
55,yes,no
38,yes,no
41,yes,no
57,yes,no
48,yes,no
35,yes,no
54,yes,no
37,yes,no
56,yes,no
40,yes,no
40,no,no
54,yes,no
55,yes,no
55,yes,no
52,yes,no
55,yes,no
33,yes,no
52,yes,no
33,yes,no
48,yes,no
50,yes,no
34,yes,no
38,no,no
42,yes,no
32,no,no
58,yes,no
31,no,no
41,no,no
31,yes,no
52,no,no
42,yes,no
41,yes,no
38,yes,no
32,yes,no
48,yes,no
36,yes,no
45,no,no
34,yes,no
34,yes,no
61,no,no
54,no,no
50,no,no
43,yes,no
47,no,no
45,yes,no
57,no,no
27,yes,no
49,no,no
43,yes,no
40,yes,no
32,yes,no
58,yes,no
34,yes,no
46,yes,no
29,no,no
52,no,no
45,no,no
26,no,no
40,no,no
41,yes,no
27,no,no
27,yes,no
48,yes,no
49,no,no
35,yes,no
47,no,no
54,no,no
39,no,no
28,yes,no
54,no,no
34,yes,no
63,no,no
42,yes,no
43,no,no
37,yes,no
55,no,no
47,yes,no
34,yes,no
28,no,no
36,yes,no
50,yes,no
35,yes,no
40,yes,no
26,no,no
36,yes,no
59,no,no
28,no,no
46,yes,no
50,no,no
53,yes,no
81,no,no
35,yes,no
58,no,no
44,yes,no
38,yes,no
49,no,no
33,no,no
29,yes,no
31,yes,no
33,no,no
52,yes,no
43,yes,no
32,yes,no
36,yes,no
41,yes,no
43,no,no
45,no,no
39,no,no
41,yes,no
31,no,no
37,yes,no
28,no,no
47,yes,no
37,no,no
60,yes,no
43,yes,no
58,yes,no
52,yes,no
50,yes,no
42,yes,no
31,yes,no
28,yes,no
36,no,no
51,no,no
46,yes,no
50,no,no
32,yes,no
26,no,no
39,yes,no
31,yes,no
28,yes,no
31,no,no
30,yes,no
33,yes,no
30,yes,no
32,yes,no
40,no,no
31,no,no
36,yes,no
33,yes,no
57,yes,no
45,no,no
59,no,no
33,no,no
52,yes,no
83,no,no
33,no,no
41,yes,no
31,no,no
35,no,no
57,no,no
56,no,no
53,yes,no
32,yes,no
56,no,no
46,yes,no
29,yes,no
60,yes,no
33,yes,no
27,no,no
50,yes,no
45,no,no
58,no,no
59,yes,no
58,yes,no
64,no,no
47,no,no
40,yes,no
36,yes,no
53,yes,no
46,yes,no
54,no,no
32,no,no
55,no,no
55,no,no
56,no,no
40,no,no
44,yes,no
32,yes,no
33,yes,no
41,no,no
37,yes,no
58,yes,no
52,no,no
49,no,no
44,no,no
28,no,no
31,no,no
37,yes,no
30,yes,no
46,yes,no
47,yes,no
35,yes,no
80,no,no
30,yes,no
55,yes,no
22,no,no
33,yes,no
53,no,no
49,no,no
51,no,no
41,yes,no
34,yes,no
36,no,no
35,no,no
29,yes,no
40,yes,no
48,no,no
33,no,no
55,no,no
41,yes,no
42,no,no
46,no,no
35,no,no
28,no,no
25,no,no
56,no,no
30,no,no
45,no,no
40,no,no
40,yes,no
39,yes,no
48,no,no
31,yes,no
32,no,no
34,yes,no
26,no,no
31,yes,no
37,yes,no
29,no,no
57,yes,no
47,yes,no
38,yes,no
48,no,no
33,yes,no
28,yes,no
30,no,no
52,no,no
36,yes,no
46,no,no
57,no,no
46,yes,no
33,yes,no
53,no,no
41,yes,no
60,yes,no
35,no,no
43,yes,no
57,no,no
46,yes,no
31,yes,no
53,no,no
35,yes,no
32,yes,no
50,yes,no
40,yes,no
42,no,no
59,no,no
27,yes,no
32,yes,no
35,yes,no
28,yes,no
37,no,no
57,yes,no
42,yes,no
55,yes,no
52,yes,no
26,yes,no
52,yes,no
26,no,no
33,yes,no
24,yes,no
37,yes,no
28,no,no
30,yes,no
33,yes,no
55,no,no
33,yes,no
42,yes,no
37,yes,no
59,yes,no
27,yes,no
23,yes,no
51,no,no
50,yes,no
43,yes,no
37,yes,no
34,yes,no
41,yes,no
26,no,no
49,no,no
30,yes,no
38,no,no
58,no,no
34,no,no
53,yes,no
50,no,no
30,yes,no
40,yes,no
57,no,no
40,yes,no
41,yes,no
53,yes,no
48,yes,no
32,yes,no
46,yes,no
45,no,no
51,yes,no
31,yes,no
47,yes,no
32,no,no
41,yes,no
37,no,no
27,no,no
27,yes,no
50,no,no
31,yes,no
40,no,no
39,no,no
31,no,no
48,yes,no
32,no,no
47,yes,no
35,yes,no
42,no,no
59,no,no
38,yes,no
50,no,no
27,no,no
55,no,no
31,no,no
37,yes,no
28,yes,no
42,no,no
40,yes,no
59,yes,no
40,yes,no
43,yes,no
38,yes,no
54,yes,no
41,yes,no
33,no,no
46,no,no
36,no,no
48,no,no
42,yes,no
49,yes,no
36,no,no
34,yes,no
51,yes,no
58,no,no
48,no,no
49,yes,no
43,yes,no
32,no,no
54,no,no
33,yes,no
35,yes,no
56,yes,no
57,no,no
33,yes,no
29,no,no
38,yes,no
37,no,no
33,no,no
30,no,no
31,no,no
28,yes,no
31,yes,no
50,yes,no
45,yes,no
48,no,no
41,no,no
41,yes,no
43,yes,no
36,yes,no
40,no,no
28,no,no
49,yes,no
37,yes,no
31,yes,no
31,no,no
31,yes,no
35,yes,no
51,yes,no
33,no,no
30,yes,no
58,no,no
34,yes,no
45,no,no
31,yes,no
40,no,no
30,no,no
34,yes,no
40,no,no
59,no,no
43,yes,no
41,no,no
33,no,no
33,yes,no
36,no,no
32,no,no
25,yes,no
25,yes,no
38,no,no
34,yes,no
67,no,no
32,yes,no
45,no,no
33,yes,no
38,yes,no
32,yes,no
54,yes,no
51,yes,no
42,yes,no
41,yes,no
39,no,no
38,yes,no
39,yes,no
46,no,no
50,no,no
33,yes,no
37,yes,no
31,no,no
36,yes,no
40,no,no
52,no,no
40,yes,no
48,yes,no
33,no,no
44,no,no
55,no,no
51,no,no
34,no,no
58,yes,no
39,yes,no
27,no,no
55,yes,no
35,no,no
37,yes,no
52,yes,no
41,yes,no
52,no,no
34,yes,no
53,no,no
47,no,no
35,yes,no
33,no,no
55,no,no
44,yes,no
25,yes,no
37,yes,no
41,yes,no
36,no,no
44,no,no
34,no,no
56,no,no
28,yes,no
54,yes,no
37,no,no
58,no,no
56,yes,no
32,no,no
42,no,no
52,no,no
46,yes,no
39,yes,no
31,yes,no
59,no,no
38,yes,no
58,no,no
34,yes,no
40,yes,no
20,no,no
34,yes,no
31,yes,no
39,yes,no
34,yes,no
24,yes,no
41,yes,no
40,yes,no
36,yes,no
53,no,no
23,no,no
42,yes,no
48,yes,no
34,no,no
36,yes,no
43,yes,no
36,yes,no
55,no,no
31,yes,no
32,yes,no
36,yes,no
46,yes,no
41,no,no
31,yes,no
32,yes,no
38,yes,no
49,no,no
46,no,no
29,yes,no
36,no,no
38,yes,no
53,yes,no
43,yes,no
41,yes,no
42,no,no
39,yes,no
30,yes,no
41,yes,no
44,no,no
58,no,no
35,yes,no
27,yes,no
25,yes,no
36,no,no
38,yes,no
30,yes,no
47,yes,no
41,yes,no
36,no,no
23,yes,no
32,no,no
57,no,no
49,no,no
50,yes,no
33,yes,no
53,yes,no
30,yes,no
38,no,no
44,yes,no
39,yes,no
45,yes,no
38,yes,no
36,yes,no
30,yes,no
28,yes,no
26,yes,no
32,no,no
50,no,no
43,yes,no
48,no,no
57,no,no
64,no,no
